lemma	POS	freq	declension
круглый	A	17	
хватать	V	17	
видать	V	17	
спускаться	V	17	
легкий	A	17	
принимать	V	17	
народ	S	17	2
русский	A	17	
сваливаться	V	17	
выпускать	V	17	
подснежник	S	17	2
отправляться	V	17	
камешек	S	17	2
получаться	V	17	
белье	S	17	2
родина	S	17	1
несколько	NUM	17	
верблюд	S	17	2
кокованя	S	17	1
муренок	S	17	2
леля	S	17	1
глазок	S	16	2
спеть	V	16	
носить	V	16	
мед	S	16	2
мчаться	V	16	
розовый	A	16	
бочок	S	16	2
д	S	16	Н
вытягивать	V	16	
сестричка	S	16	1
мокрый	A	16	
тепло	ADV	16	
белка	S	16	1
опускать	V	16	
короткий	A	16	
лоб	S	16	2
равный	A	16	
соглашаться	V	16	
обижать	V	16	
огород	S	16	2
светлый	A	16	
чашка	S	16	1
из-под	PR	16	
короб	S	16	2
изо	PR	16	
впереди	ADV	16	
выбегать	V	16	
пожевать	V	16	
попробовать	V	16	
шерсть	S	16	3
африка	S	16	1
держаться	V	16	
средний	A	16	
убивать	V	16	
птенец	S	16	2
сильный	A	16	
ясно	ADV	16	
травка	S	16	1
касаться	V	16	
привозить	V	16	
счастие	S	16	2
продавать	V	16	
болеть	V	16	
роза	S	16	1
ответ	S	16	2
луна	S	16	1
корабль	S	16	2
веточка	S	16	1
посылать	V	16	
ослик	S	16	2
алеша	S	16	1
вопрос	S	16	2
возвращаться	V	16	
ха	INTJ	16	
провод	S	16	2
сани	S	16	T
сделаться	V	16	
снегурушка	S	16	1
юноша	S	16	1
вождь	S	16	2
стасик	S	16	2
собачка	S	15	1
праздник	S	15	2
га	S	15	Н
угощать	V	15	
курица	S	15	1
гладить	V	15	
оба	NUM	15	
снимать	V	15	
ежонок	S	15	2
шея	S	15	1
зато	CONJ	15	
тащить	V	15	
старушка	S	15	1
вокруг	PR	15	
зайка	S	15	1
огонек	S	15	2
березка	S	15	1
заснуть	V	15	
человечек	S	15	2
тетя	S	15	1
давно	ADV	15	
пригождаться	V	15	
яблоня	S	15	1
перелетать	V	15	
начинаться	V	15	
догадываться	V	15	
головка	S	15	1
значит	ADV	15	
жизнь	S	15	3
с	S	15	Н
взяться	V	15	
происходить	V	15	
растаивать	V	15	
завтра	ADV	15	
поляна	S	15	1
стоить	V	15	
народный	A	15	
сыр	S	15	2
костер	S	15	2
любимый	A	15	
магазин	S	15	2
золото	S	15	2
туча	S	15	1
постель	S	15	3
ползти	V	15	
лодка	S	15	1
звук	S	15	2
облако	S	15	2
затем	ADV	15	
запах	S	15	2
посуда	S	15	1
отдыхать	V	15	
дрожать	V	15	
больший	A	15	
лимпопо	S	15	Н
умирать	V	15	
кукушка	S	15	1
ушастик	S	15	2
семь	NUM	15	
сестра	S	15	1
щука	S	15	1
поблагодарить	V	15	
щучий	A	15	
веление	S	15	2
тегумай	S	15	2
ваня	S	14	1
рассердиться	V	14	
мыться	V	14	
пароход	S	14	2
немой	A	14	
пряник	S	14	2
рубашка	S	14	1
барто	S	14	Н
нитка	S	14	1
полезть	V	14	
доска	S	14	1
разбивать	V	14	
ох	INTJ	14	
веревка	S	14	1
клевать	V	14	
папин	A	14	
догнать	V	14	
подбегать	V	14	
часто	ADV	14	
тихий	A	14	
сапожок	S	14	2
фонарь	S	14	2
край	S	14	2
губа	S	14	1
и	S	14	Н
наверно	ADV	14	
забор	S	14	2
клюв	S	14	2
мамин	A	14	
колено	S	14	2
легко	ADV	14	
вскакивать	V	14	
топор	S	14	2
превращаться	V	14	
кроме	PR	14	
укладывать	V	14	
ус	S	14	2
наказывать	V	14	
